fingerprint,minutia,score_change
G051X6I_1_1,v37,-0.045520534
G051X6I_1_1,v38,-0.18705511
G051X6I_1_1,v39,0.140981002
G051X6I_1_1,v40,0.024184486
G051X6I_1_1,v41,0.032771696
G051X6I_1_1,v42,-0.118489817
G051X6I_1_1,v43,0.008990903
G051X6I_1_1,v44,-0.22432685
G051X6I_1_1,v45,-0.043520872
G051X6I_1_1,v46,0.120696304
G051X6I_1_1,v47,-0.139014925
G051X6I_1_1,v48,0.114947349
G051X6I_1_1,v49,-0.023832287
G051X6I_1_1,v50,0.065330992
G051X6I_1_1,v51,-0.079110168
G051X6I_1_1,v52,0.019007882
G051X6I_1_1,v53,0.031983935
G051X6I_1_1,v54,-0.01416878
G051X6I_1_1,v55,0.025809038
G051X6I_1_1,v56,0.028309729
G051X6I_1_1,v57,0.0405092
G051X6I_1_1,v58,0.045528983
G051X6I_1_1,v59,-0.204158591
G051X6I_1_1,v60,-0.161510153
G051X6I_1_1,v61,-0.075070321
G051X6I_1_1,v62,-0.049182818
G051X6I_1_1,v63,-0.127119576
G051X6I_1_1,v64,-0.071638537
G051X6I_1_1,v65,-0.184658849
G051X6I_1_1,v66,-0.220748323
G051X6I_1_1,v67,-0.140826513
G051X6I_1_1,v68,-0.159248508
G051X6I_1_1,v69,-0.086960306
G051X6I_1_1,v70,0.014997271
G051X6I_1_1,v71,-0.196176778
G051X6I_1_1,v72,-0.033713024
G051X6I_1_1,v73,-0.014617075
G051X6I_1_1,v74,0.053713651
G051X6I_1_1,v75,-0.135890682
G051X6I_1_1,v76,-0.236829673
G051X6I_1_1,v77,0.068093686
G051X6I_1_1,v78,-0.089922167
G051X6I_1_1,v79,0.115539003
G051X6I_1_1,v80,0.120797117
G051X6I_1_1,v81,0.015984216
G021X7I_1_1,v0,-0.334344296
G021X7I_1_1,v1,0.115554239
G021X7I_1_1,v2,-0.693997784
G021X7I_1_1,v3,-0.399323875
G021X7I_1_1,v4,-0.406024956
G021X7I_1_1,v5,-0.019585347
G021X7I_1_1,v6,-0.478779112
G021X7I_1_1,v7,-0.414043138
G021X7I_1_1,v8,-0.151653719
G021X7I_1_1,v9,-0.231525946
G021X7I_1_1,v10,-0.460156494
G021X7I_1_1,v11,0.020176691
G021X7I_1_1,v12,-0.089006492
G021X7I_1_1,v13,-0.446220552
G021X7I_1_1,v14,-0.210199964
G021X7I_1_1,v15,-0.33736326
G021X7I_1_1,v16,0.991388973
G021X7I_1_1,v17,-0.374331027
G021X7I_1_1,v18,0.380881181
G021X7I_1_1,v19,0.447548418
G021X7I_1_1,v20,-0.168310534
U293X1I_1_1,v0,0.121666064
U293X1I_1_1,v1,0.198467187
U293X1I_1_1,v2,0.410876577
U293X1I_1_1,v3,0.128615358
U293X1I_1_1,v4,0.128615358
U293X1I_1_1,v5,0.233260791
U293X1I_1_1,v6,0.128615358
U293X1I_1_1,v7,-0.216219336
U293X1I_1_1,v8,-0.548307581
U293X1I_1_1,v9,0.127589045
U287X3I_1_1,v0,-0.154286136
U287X3I_1_1,v1,-0.026111352
U287X3I_1_1,v2,-0.66065884
U287X3I_1_1,v3,-0.368247943
U287X3I_1_1,v4,-0.500490582
U287X3I_1_1,v5,-0.31938155
U287X3I_1_1,v6,-0.007245257
U287X3I_1_1,v7,-0.879694726
U287X3I_1_1,v8,-0.161458164
U287X3I_1_1,v9,0.442171223
U287X3I_1_1,v10,-0.535232182
U287X3I_1_1,v11,0.30907043
G094X6I_1_1,v0,0.052666269
G094X6I_1_1,v1,-0.450724949
G094X6I_1_1,v2,-0.055557192
G094X6I_1_1,v3,-0.043315301
G094X6I_1_1,v4,0.301192324
G094X6I_1_1,v5,-0.176326128
G094X6I_1_1,v6,-0.544349288
G094X6I_1_1,v7,-0.052687395
G094X6I_1_1,v8,-0.031359454
G094X6I_1_1,v9,-0.113129335
G094X6I_1_1,v10,-0.379875381
G094X6I_1_1,v11,0.162263605
G094X6I_1_1,v12,-0.028681374
G094X6I_1_1,v13,-0.710244711
G094X6I_1_1,v14,0.152413607
G094X6I_1_1,v15,0.67819574
G094X6I_1_1,v16,-0.216172328
G094X6I_1_1,v17,0.223767286
G083X8I_1_1,v0,-0.111713741
G083X8I_1_1,v1,-0.161353607
G083X8I_1_1,v2,0.037391014
G083X8I_1_1,v3,-0.078794439
G083X8I_1_1,v4,0.049447392
G083X8I_1_1,v5,-0.016649539
G083X8I_1_1,v6,0.051398242
G083X8I_1_1,v7,-0.003445481
G083X8I_1_1,v8,-0.006991873
G083X8I_1_1,v9,-0.283068028
G083X8I_1_1,v10,-0.0518074
G083X8I_1_1,v11,0.121835038
G083X8I_1_1,v12,-0.046021379
G083X8I_1_1,v13,-0.182815757
G083X8I_1_1,v14,-0.136307939
G083X8I_1_1,v15,-0.10009773
G083X8I_1_1,v16,-0.008626086
G083X8I_1_1,v17,-0.001686454
G083X8I_1_1,v18,-0.161277923
G083X8I_1_1,v19,-0.144658983
G083X8I_1_1,v20,-0.006235859
G083X8I_1_1,v21,-0.126796954
G083X8I_1_1,v22,-0.022681553
G083X8I_1_1,v23,-0.038743594
G083X8I_1_1,v24,-0.017078382
G083X8I_1_1,v25,-0.239929216
G083X8I_1_1,v26,-0.171074864
G032X6I_1_1,v0,-0.020524851
G032X6I_1_1,v1,-0.18480984
G032X6I_1_1,v2,-0.312468922
G032X6I_1_1,v3,-0.212840639
G032X6I_1_1,v4,-0.338460721
G032X6I_1_1,v5,-0.314321249
G032X6I_1_1,v6,-0.048769298
G032X6I_1_1,v7,-0.265944237
G032X6I_1_1,v8,-0.117684229
G032X6I_1_1,v9,-0.297812607
G032X6I_1_1,v10,-0.043567791
G032X6I_1_1,v11,-0.084528401
G032X6I_1_1,v12,-0.425491225
G032X6I_1_1,v13,-0.086783866
G032X6I_1_1,v14,0.027199436
G032X6I_1_1,v15,-0.294020201
G032X6I_1_1,v16,-0.045190317
G032X6I_1_1,v17,0.11003578
G032X6I_1_1,v18,-0.19500254
G032X6I_1_1,v19,-0.238695036
G032X6I_1_1,v20,-0.366412663
G032X6I_1_1,v21,-0.113614762
G032X6I_1_1,v22,-0.374560464
G032X6I_1_1,v23,-0.183507652
G032X6I_1_1,v24,0.11003578
G032X6I_1_1,v25,-0.537566239
G032X6I_1_1,v26,-0.405448844
G032X6I_1_1,v27,-0.131185993
G032X6I_1_1,v28,0.11003578
G032X6I_1_1,v29,-0.161878218
G032X6I_1_1,v30,-0.116317332
G032X6I_1_1,v31,-0.263798161
G032X6I_1_1,v32,-0.087411278
G032X6I_1_1,v33,-0.155038392
G032X6I_1_1,v34,-0.221528747
G032X6I_1_1,v35,-0.464815218
G032X6I_1_1,v36,-0.227843696
G032X6I_1_1,v37,-0.349256589
G032X6I_1_1,v38,-0.117969511
G032X6I_1_1,v39,-0.029517809
G032X6I_1_1,v40,-0.203261627
G032X6I_1_1,v41,-0.150234152
G032X6I_1_1,v42,0.010707464
G032X6I_1_1,v43,0.07449255
G032X6I_1_1,v44,-0.134393256
G032X6I_1_1,v45,-0.366068132
U246X8I_1_1,v0,0
U246X8I_1_1,v1,0
U246X8I_1_1,v2,0.578685267
U246X8I_1_1,v3,0
U246X8I_1_1,v4,0
U246X8I_1_1,v5,0.387371669
U246X8I_1_1,v6,0
U246X8I_1_1,v7,0
U246X8I_1_1,v8,0
U246X8I_1_1,v9,0.328567634
U246X8I_1_1,v10,0.477874849
G072X1I_1_1,v0,-0.003362406
G072X1I_1_1,v1,-0.029824805
G072X1I_1_1,v2,-0.013491265
G072X1I_1_1,v3,-0.067159176
G072X1I_1_1,v4,-0.003385086
G072X1I_1_1,v5,-0.058373092
G072X1I_1_1,v6,0.054620394
G072X1I_1_1,v7,-0.161748498
G072X1I_1_1,v8,0.039194951
G072X1I_1_1,v9,-0.042555395
G072X1I_1_1,v10,0.067854475
G072X1I_1_1,v11,-0.143184648
G072X1I_1_1,v12,-0.080227325
G072X1I_1_1,v13,0.021134531
G072X1I_1_1,v14,0.055176854
G072X1I_1_1,v15,-0.012996059
G072X1I_1_1,v16,0.214527015
G072X1I_1_1,v17,-0.029828595
G072X1I_1_1,v18,0.02382828
G072X1I_1_1,v19,0.02101573
G072X1I_1_1,v20,-0.040532437
G072X1I_1_1,v21,-0.010797619
G072X1I_1_1,v22,0.054620394
G072X1I_1_1,v23,0.007185175
G072X1I_1_1,v24,-0.014313138
G072X1I_1_1,v25,-0.033632827
G072X1I_1_1,v26,0.054620394
G072X1I_1_1,v27,-0.053506778
G072X1I_1_1,v28,0.004290652
G072X1I_1_1,v29,-0.026105536
G072X1I_1_1,v30,-0.133056225
G072X1I_1_1,v31,-0.10454937
G072X1I_1_1,v32,0.026387941
G072X1I_1_1,v33,-0.012506471
G072X1I_1_1,v34,0.042543938
G072X1I_1_1,v35,-0.000192052
G072X1I_1_1,v36,0.006202443
G072X1I_1_1,v37,-0.02173245
G072X1I_1_1,v38,-0.012729987
G061X4I_1_1,v0,-0.193240323
G061X4I_1_1,v1,0.188177989
G061X4I_1_1,v2,-0.267291318
G061X4I_1_1,v3,-0.116388087
G061X4I_1_1,v4,-0.090025755
G061X4I_1_1,v5,0.065145592
G061X4I_1_1,v6,-0.219596445
G061X4I_1_1,v7,-0.255820862
G061X4I_1_1,v8,-0.031157351
G061X4I_1_1,v9,0.443190856
G061X4I_1_1,v10,-0.328388703
G061X4I_1_1,v11,0.255466871
G061X4I_1_1,v12,0.509238243
G061X4I_1_1,v13,0.028898941
G061X4I_1_1,v14,0.175889284
G061X4I_1_1,v15,-0.029433919
G061X4I_1_1,v16,-0.059880105
G061X4I_1_1,v17,-0.13494002
G061X4I_1_1,v18,0.021855503
G086X9I_1_1,v0,-0.104649554
G086X9I_1_1,v1,0.255968581
G086X9I_1_1,v2,-0.060803746
G086X9I_1_1,v3,0.276836955
G086X9I_1_1,v4,-0.077342967
G086X9I_1_1,v5,-0.193403858
G086X9I_1_1,v6,-0.820283192
G086X9I_1_1,v7,-0.509194013
G086X9I_1_1,v8,-0.075209282
G086X9I_1_1,v9,0.00054315
G086X9I_1_1,v10,-0.539385901
G086X9I_1_1,v11,-0.339789331
G086X9I_1_1,v12,-0.37890594
G086X9I_1_1,v13,-0.041411771
G086X9I_1_1,v14,-0.09419102
G086X9I_1_1,v15,-0.062239374
G086X9I_1_1,v16,-0.114935788
G086X9I_1_1,v17,-0.17807297
G086X9I_1_1,v18,-0.055204687
G086X9I_1_1,v19,-0.147048866
G086X9I_1_1,v20,-0.282006547
G086X9I_1_1,v21,0.171332539
G086X9I_1_1,v22,-0.24837185
G086X9I_1_1,v23,-0.120074931
G086X9I_1_1,v24,-0.47335219
G086X9I_1_1,v25,-0.089895707
G086X9I_1_1,v26,-0.055817611
G086X9I_1_1,v27,-0.109849377
G063X2I_1_1,v0,-0.00808011
G063X2I_1_1,v1,0.074615194
G063X2I_1_1,v2,0.054185369
G063X2I_1_1,v3,0.085930217
G063X2I_1_1,v4,-0.43815896
G063X2I_1_1,v5,-0.020810339
G063X2I_1_1,v6,0.102270139
G063X2I_1_1,v7,0.048409691
G063X2I_1_1,v8,-0.118892083
G063X2I_1_1,v9,0.098151202
G063X2I_1_1,v10,-0.14546126
G063X2I_1_1,v11,-0.175631806
G063X2I_1_1,v12,-0.201359945
G063X2I_1_1,v13,-0.238777681
G063X2I_1_1,v14,-0.207911342
G063X2I_1_1,v15,-0.012927791
G063X2I_1_1,v16,-0.354090093
G063X2I_1_1,v17,-0.035125943
G063X2I_1_1,v18,0.165246107
G063X2I_1_1,v19,-0.22142967
G063X2I_1_1,v20,-0.583974579
G063X2I_1_1,v21,-0.741988737
G063X2I_1_1,v22,0.131155446
G063X2I_1_1,v23,-0.145280857
G063X2I_1_1,v24,-0.162057284
G063X2I_1_1,v25,0.181236668
G063X2I_1_1,v26,-0.359037164
G007X1I_1_1,v0,-0.175779317
G007X1I_1_1,v1,-0.131441805
G007X1I_1_1,v2,-0.084513701
G007X1I_1_1,v3,-0.121154464
G007X1I_1_1,v4,-0.136582011
G007X1I_1_1,v5,-0.12050115
G007X1I_1_1,v6,0.044564062
G007X1I_1_1,v7,-0.172794974
G007X1I_1_1,v8,-0.073833273
G007X1I_1_1,v9,-0.01793419
G007X1I_1_1,v10,0.040420624
G007X1I_1_1,v11,-0.087144524
G007X1I_1_1,v12,0.070864022
G007X1I_1_1,v13,0.0642422
G007X1I_1_1,v14,0.062085629
G007X1I_1_1,v15,0.003525594
G007X1I_1_1,v16,-0.23564562
G007X1I_1_1,v17,-0.188265235
G007X1I_1_1,v18,0.03558023
G007X1I_1_1,v19,-0.097841082
G007X1I_1_1,v20,-0.06468356
G007X1I_1_1,v21,-0.097968782
G007X1I_1_1,v22,-0.120364376
G007X1I_1_1,v23,-0.065173924
G007X1I_1_1,v24,0.07019105
G007X1I_1_1,v25,-0.200780784
G007X1I_1_1,v26,-0.065750451
G007X1I_1_1,v27,-0.113159857
G007X1I_1_1,v28,0.0642422
G007X1I_1_1,v29,0.037418538
G007X1I_1_1,v30,0.043605238
G007X1I_1_1,v31,0.049113134
G007X1I_1_1,v32,0.048984278
G007X1I_1_1,v33,-0.07653627
G007X1I_1_1,v34,0.082714895
G007X1I_1_1,v35,0.046194278
G007X1I_1_1,v36,0.076355074
G007X1I_1_1,v37,0.082714895
G007X1I_1_1,v38,-0.007218439
G007X1I_1_1,v39,0.019912617
G007X1I_1_1,v40,-0.010628338
G007X1I_1_1,v41,0.025331153
G007X1I_1_1,v42,0.068116106
G007X1I_1_1,v43,-0.001650543
G007X1I_1_1,v44,-0.062928236
G007X1I_1_1,v45,0.014510377
G007X1I_1_1,v46,-0.083497302
G007X1I_1_1,v47,-0.137911734
G007X1I_1_1,v48,-0.068494504
B189X7I_1_1,v0,-0.320119551
B189X7I_1_1,v1,0.215821365
B189X7I_1_1,v2,-0.150796145
B189X7I_1_1,v3,0.358246098
B189X7I_1_1,v4,0.096518694
B189X7I_1_1,v5,-0.838228301
B189X7I_1_1,v6,0.366748724
B189X7I_1_1,v7,-0.101218643
B189X7I_1_1,v8,0.075058351
B189X7I_1_1,v9,-0.113587511
B189X7I_1_1,v10,-0.510603905
U224X6I_1_1,v0,-0.377131239
U224X6I_1_1,v1,0.525171839
U224X6I_1_1,v2,-0.51163353
U224X6I_1_1,v3,0.529408888
U224X6I_1_1,v4,-0.300386939
U224X6I_1_1,v5,-0.460728321
U224X6I_1_1,v6,-0.632946938
U224X6I_1_1,v7,-0.296539468
B194X8I_1_1,v0,0.331147551
B194X8I_1_1,v1,0.110231537
B194X8I_1_1,v2,0.082698037
B194X8I_1_1,v3,-0.429539843
B194X8I_1_1,v4,-0.675116577
B194X8I_1_1,v5,-0.080574382
B194X8I_1_1,v6,-0.145332223
B194X8I_1_1,v7,-0.429170068
B194X8I_1_1,v8,-0.213092939
U254X3I_1_1,v0,-0.112007993
U254X3I_1_1,v1,-0.599918608
U254X3I_1_1,v2,-0.184117282
U254X3I_1_1,v3,0.199401586
U254X3I_1_1,v4,0.070209445
U254X3I_1_1,v5,-0.543711035
U254X3I_1_1,v6,-0.078540094
U269X3I_1_1,v0,0.298075327
U269X3I_1_1,v1,-0.13156361
U269X3I_1_1,v2,0.161913673
U269X3I_1_1,v3,-0.038231074
U269X3I_1_1,v4,0.062181866
U269X3I_1_1,v5,-0.192735021
U269X3I_1_1,v6,0.219655869
U269X3I_1_1,v7,0.137097586
U269X3I_1_1,v8,-0.06013736
U269X3I_1_1,v9,-0.378888472
U269X3I_1_1,v10,0.04605662
U240X1I_1_1,v0,0.033323055
U240X1I_1_1,v1,0.024359315
U240X1I_1_1,v2,-0.004940857
U240X1I_1_1,v3,-0.014429164
U240X1I_1_1,v4,0.005309825
U240X1I_1_1,v5,0.025074105
U240X1I_1_1,v6,0.024359315
U240X1I_1_1,v7,-0.176801482
U240X1I_1_1,v8,-0.033588184
U240X1I_1_1,v9,-0.054004154
U240X1I_1_1,v10,-0.060047617
U240X1I_1_1,v11,0.00814157
U240X1I_1_1,v12,-0.060047617
U240X1I_1_1,v13,-0.060047617
U240X1I_1_1,v14,0.009040243
U240X1I_1_1,v15,-0.040550017
G069X7I_1_1,v0,-0.725333484
G069X7I_1_1,v1,0.457385774
G069X7I_1_1,v2,-0.986024598
G069X7I_1_1,v3,-0.706703406
G069X7I_1_1,v4,-0.357920015
G069X7I_1_1,v5,-0.058995173
G069X7I_1_1,v6,-0.035116484
G069X7I_1_1,v7,-0.019193972
G069X7I_1_1,v8,-0.205160801
G069X7I_1_1,v9,-0.348336193
G069X7I_1_1,v10,-0.28900113
G069X7I_1_1,v11,-0.090292237
G069X7I_1_1,v12,-0.784856027
G069X7I_1_1,v13,-0.917589814
G069X7I_1_1,v14,-0.779947216
G069X7I_1_1,v15,-0.3285555
B146X6I_1_1,v0,0.05548988
B146X6I_1_1,v1,0.07730528
B146X6I_1_1,v2,-0.036253534
B146X6I_1_1,v3,-0.406692997
B146X6I_1_1,v4,0.076098279
B146X6I_1_1,v5,-0.406692997
B146X6I_1_1,v6,0.054650536
B146X6I_1_1,v7,0.05548988
B146X6I_1_1,v8,-0.406692997
B146X6I_1_1,v9,0.07730528
B146X6I_1_1,v10,-0.131480435
B146X6I_1_1,v11,-0.038406645
G082X6I_1_1,v0,0.035219931
G082X6I_1_1,v1,-0.108955383
G082X6I_1_1,v2,-0.038265963
G082X6I_1_1,v3,-0.016129894
G082X6I_1_1,v4,-0.021914223
G082X6I_1_1,v5,0.000841383
G082X6I_1_1,v6,-0.048799426
G082X6I_1_1,v7,-0.04317182
G082X6I_1_1,v8,-0.02285579
G082X6I_1_1,v9,0.081737932
G082X6I_1_1,v10,-0.088310224
G082X6I_1_1,v11,0.094202174
G082X6I_1_1,v12,-0.063459249
G082X6I_1_1,v13,0.051009212
G082X6I_1_1,v14,-0.044400437
G082X6I_1_1,v15,-0.005761615
G082X6I_1_1,v16,-0.130460397
G082X6I_1_1,v17,-0.136846498
G082X6I_1_1,v18,0.02676248
G082X6I_1_1,v19,0.011791256
G082X6I_1_1,v20,0.063890223
G082X6I_1_1,v21,-0.014855362
G082X6I_1_1,v22,0.012220353
G082X6I_1_1,v23,0.049558955
G082X6I_1_1,v24,0.025999017
G082X6I_1_1,v25,-0.00636083
G082X6I_1_1,v26,-0.037623072
G082X6I_1_1,v27,0.028987609
G082X6I_1_1,v28,0.047836959
G082X6I_1_1,v29,-0.025918164
G082X6I_1_1,v30,0.02705079
G082X6I_1_1,v31,0.031784375
G082X6I_1_1,v32,0.019160257
G082X6I_1_1,v33,0.031784375
G082X6I_1_1,v34,0.031784375
G082X6I_1_1,v35,0.025065472
G082X6I_1_1,v36,0.004379368
G082X6I_1_1,v37,0.000175984
G082X6I_1_1,v38,-0.030224715
G082X6I_1_1,v39,0.03944011
G082X6I_1_1,v40,-0.018314327
G082X6I_1_1,v41,0.028631316
G082X6I_1_1,v42,0.009778047
G082X6I_1_1,v43,0.071611504
G082X6I_1_1,v44,0.050730135
G082X6I_1_1,v45,0.011719872
G082X6I_1_1,v46,0.118259452
G082X6I_1_1,v47,-0.00728284
G082X6I_1_1,v48,-0.040413492
G082X6I_1_1,v49,-0.09985732
G082X6I_1_1,v50,0.02001353
G082X6I_1_1,v51,0.023904872
G082X6I_1_1,v52,-0.033199056
G082X6I_1_1,v53,0.008094775
G082X6I_1_1,v54,0.013554
G082X6I_1_1,v55,0.006415916
G082X6I_1_1,v56,-0.124541196
G082X6I_1_1,v57,-0.003476135
G082X6I_1_1,v58,0.029766197
G082X6I_1_1,v59,-0.070150309
G082X6I_1_1,v60,-0.115610942
G082X6I_1_1,v61,-0.00089044
G082X6I_1_1,v62,-0.035383994
B200X6I_1_1,v0,-0.192141196
B200X6I_1_1,v1,-0.218751029
B200X6I_1_1,v2,-0.136131078
B200X6I_1_1,v3,0.116278229
B200X6I_1_1,v4,0.116278229
B200X6I_1_1,v5,-0.300823318
B200X6I_1_1,v6,-0.101328333
B200X6I_1_1,v7,-0.406751052
B200X6I_1_1,v8,0.116278229
B200X6I_1_1,v9,-0.066295125
B200X6I_1_1,v10,0.116278229
B200X6I_1_1,v11,-0.112580986
B200X6I_1_1,v12,0.163132647
B200X6I_1_1,v13,0.128840637
B200X6I_1_1,v14,0.179519161
B200X6I_1_1,v15,-0.011758754
B200X6I_1_1,v16,0.186466063
B200X6I_1_1,v17,-0.128239666
G088X7I_1_1,v0,-0.151906431
G088X7I_1_1,v1,0.2053165
G088X7I_1_1,v2,-0.226476585
G088X7I_1_1,v3,0.603788778
G088X7I_1_1,v4,0.290869387
G088X7I_1_1,v5,-0.13975054
G088X7I_1_1,v6,-0.069872073
G088X7I_1_1,v7,0.279689201
G088X7I_1_1,v8,0.449420351
G088X7I_1_1,v9,-0.216151142
G088X7I_1_1,v10,-0.269315854
G059X1I_1_1,v0,-0.001760889
G059X1I_1_1,v1,-0.047524268
G059X1I_1_1,v2,0.004846451
G059X1I_1_1,v3,-0.086184066
G059X1I_1_1,v4,-0.05705058
G059X1I_1_1,v5,-0.015710939
G059X1I_1_1,v6,0.019452588
G059X1I_1_1,v7,-0.056229822
G059X1I_1_1,v8,-0.040406095
G059X1I_1_1,v9,0.010382607
G059X1I_1_1,v10,0.029718968
G059X1I_1_1,v11,-0.004154957
G059X1I_1_1,v12,0.014825076
G059X1I_1_1,v13,-0.012892793
G059X1I_1_1,v14,-0.219920696
G059X1I_1_1,v15,-0.049905831
G059X1I_1_1,v16,0.015261133
G059X1I_1_1,v17,0.013470319
G059X1I_1_1,v18,0.015566384
G059X1I_1_1,v19,-0.037833576
G059X1I_1_1,v20,-0.014302328
G059X1I_1_1,v21,0.052631798
G059X1I_1_1,v22,-0.074013422
G059X1I_1_1,v23,-0.011497277
G059X1I_1_1,v24,0.021646985
G059X1I_1_1,v25,-0.077922735
G059X1I_1_1,v26,-0.047713903
G059X1I_1_1,v27,0.120890665
G059X1I_1_1,v28,-0.129458669
G059X1I_1_1,v29,0.007107946
G059X1I_1_1,v30,0.01534347
G059X1I_1_1,v31,-0.009839175
G059X1I_1_1,v32,0.040940116
G059X1I_1_1,v33,-0.014235399
G059X1I_1_1,v34,0.006359347
G059X1I_1_1,v35,0.00772724
G059X1I_1_1,v36,0.013682472
G059X1I_1_1,v37,-0.001898207
G059X1I_1_1,v38,-0.003796817
G059X1I_1_1,v39,0.008627319
G059X1I_1_1,v40,0.021153632
G059X1I_1_1,v41,0.00726211
G059X1I_1_1,v42,-0.004061086
G059X1I_1_1,v43,0.021734111
G059X1I_1_1,v44,0.041217762
G059X1I_1_1,v45,-0.001258668
G059X1I_1_1,v46,0.060462522
G059X1I_1_1,v47,-0.006638013
G059X1I_1_1,v48,-0.012390134
G059X1I_1_1,v49,0.051157912
G059X1I_1_1,v50,-0.022519594
G059X1I_1_1,v51,-0.060505098
G059X1I_1_1,v52,-0.09902199
G059X1I_1_1,v53,0.030820452
G059X1I_1_1,v54,0.036949014
G059X1I_1_1,v55,-0.044697656
G059X1I_1_1,v56,-0.027968151
G059X1I_1_1,v57,0.039858772
G059X1I_1_1,v58,-0.055190832
G059X1I_1_1,v59,0.053796459
G059X1I_1_1,v60,0.007104426
G059X1I_1_1,v61,0.023270819
G059X1I_1_1,v62,-0.168556578
G059X1I_1_1,v63,-0.006864915
G059X1I_1_1,v64,-0.023326059
G059X1I_1_1,v65,-0.004707433
G059X1I_1_1,v66,-0.010324913
G059X1I_1_1,v67,-0.011427423
G059X1I_1_1,v68,-0.119950649
B171X7I_1_1,v0,-0.322381777
B171X7I_1_1,v1,-0.362188167
B171X7I_1_1,v2,-0.563717585
B171X7I_1_1,v3,-0.374820422
B171X7I_1_1,v4,-0.319398041
B171X7I_1_1,v5,-0.273964833
B171X7I_1_1,v6,-0.090854207
B171X7I_1_1,v7,-0.20078708
B171X7I_1_1,v8,0.223221384
B171X7I_1_1,v9,-0.09548709
B171X7I_1_1,v10,-0.236439814
B171X7I_1_1,v11,-0.181213492
B171X7I_1_1,v12,-0.024260538
B171X7I_1_1,v13,0.156456384
B171X7I_1_1,v14,0.089510538
B171X7I_1_1,v15,-0.010273322
B171X7I_1_1,v16,0.048129645
B171X7I_1_1,v17,0.143194353
B171X7I_1_1,v18,-0.19162073
B171X7I_1_1,v19,-0.084568127
B171X7I_1_1,v20,-0.154164606
G064X1I_1_1,v0,-0.481884693
G064X1I_1_1,v1,-0.874184803
G064X1I_1_1,v2,-0.39682623
G064X1I_1_1,v3,-0.486992682
G064X1I_1_1,v4,-0.314591247
G064X1I_1_1,v5,-0.453623998
G064X1I_1_1,v6,-0.425084105
G064X1I_1_1,v7,-0.282442832
G064X1I_1_1,v8,-0.431510661
G064X1I_1_1,v9,0.254158259
G064X1I_1_1,v10,-0.244093132
G064X1I_1_1,v11,-0.47194316
G064X1I_1_1,v12,-0.750561574
U282X2I_1_1,v0,-0.279799972
U282X2I_1_1,v1,-0.297191628
U282X2I_1_1,v2,0.147206884
U282X2I_1_1,v3,0.107827266
U282X2I_1_1,v4,0.334175054
U282X2I_1_1,v5,0.124150183
U282X2I_1_1,v6,-0.236966594
U282X2I_1_1,v7,0.090592991
U282X2I_1_1,v8,-0.111895933
U282X2I_1_1,v9,0.330248733
U282X2I_1_1,v10,0.174016404
U282X2I_1_1,v11,0.116745186
U282X2I_1_1,v12,-0.144416169
B176X7I_1_1,v0,0.01736607
B176X7I_1_1,v1,0.001177993
B176X7I_1_1,v2,-0.033960726
B176X7I_1_1,v3,-0.128458619
B176X7I_1_1,v4,0.01490955
